date,open,high,low,close,volume,marketcap,fng,avg_block_size,difficulty,hash_rate,miner_revenue,unique_active_address,search_volume,sp500,gold_price,nlp_compound,nlp_subjectivity,nlp_polarity
11/8/2022,20600.67275,20664.60652,17603.54437,18541.27185,1.19E+11,3.56E+11,31,1.22452381,3.68E+13,259162652.1,20378818.58,719305,16,3828.110107,1716,0.3274375,0.392559524,0.183184524
11/7/2022,20924.62048,21053.24615,20489.97334,20602.81673,53510852236,3.96E+11,33,1.182003861,3.68E+13,266819135.1,19052783.2,643216,10,3806.800049,1680.5,0.05658,0.43322619,0.168142857
11/6/2022,21285.05666,21345.37679,20920.19068,20926.48597,35082693210,4.02E+11,40,1.072657197,3.68E+13,266295960.3,18479806,577334,9,,,0.41501,0.518919192,0.152075758
11/5/2022,21144.83147,21446.8861,21097.63542,21282.6913,37846047609,4.09E+11,38,1.165122881,3.68E+13,264203261.2,20477935.25,648416,10,,,0.12055,0.181000309,0.149329004
11/4/2022,20208.7695,21209.56104,20188.01871,21147.22973,64072727950,4.06E+11,30,1.351270287,3.68E+13,272050882.8,17095479.29,689430,10,3770.550049,1676.6,0.178283333,0.225066138,0.107473545
11/3/2022,20162.68923,20382.09632,20086.2409,20209.98742,43228750179,3.88E+11,30,1.178928982,3.68E+13,264464848.6,21427249.23,716406,10,3719.889893,1630.9,-0.016507143,0.292906746,0.154910714
11/2/2022,20482.95969,20742.81101,20087.13448,20159.50307,55552169483,3.87E+11,30,1.252918754,3.68E+13,273097232.4,15923465.1,630399,10,3759.689941,1650,0.00286,0.356969697,0.027424242
11/1/2022,20494.89762,20647.28972,20359.84548,20485.27324,39819303159,3.93E+11,30,1.308074743,3.68E+13,267342309.9,19035680.24,666319,10,3856.100098,1649.7,0.305208333,0.428452181,0.251033901
10/31/2022,20633.69607,20795.32122,20287.45909,20495.77423,45668466815,3.93E+11,31,1.080200815,3.68E+13,257663576.5,22491183.83,667561,12,3871.97998,1640.7,0.393844444,0.494907407,0.363888889
10/30/2022,20817.98225,20917.00624,20547.46342,20635.60375,31486345556,3.96E+11,34,1.138961674,3.68E+13,261564453.1,17765496.38,594597,10,,,0.43798,0.502,0.336
10/29/2022,20595.10384,20988.39447,20566.48462,20818.47616,40369840645,4.00E+11,34,1.132976035,3.68E+13,258550344.8,18889102.55,668004,10,,,0.2978625,0.343335459,0.091804847
10/28/2022,20287.95609,20724.9803,20086.06823,20595.35194,43994715910,3.95E+11,30,1.149426201,3.68E+13,256408615.9,20657842.56,679257,11,3901.060059,1644.8,0.305842857,0.414285714,0.125
